regime,n,k,m,m_over_n,m_over_nk,f_count,tb_total,run_count,F0_size_mean,F1_size_mean,d_mean,support_recall_mean,support_recall_sd_functions,support_recall_se_functions,support_precision_mean,support_precision_sd_functions,support_precision_se_functions,signed_recall_mean,signed_recall_sd_functions,signed_recall_se_functions,signed_precision_mean,signed_precision_sd_functions,signed_precision_se_functions,support_tp_total,signed_tp_total,sign_accuracy_global,sign_errors_total,sign_error_runs,sign_error_run_rate,exact_support_count,exact_signed_count,exact_support_but_not_signed,false_positives_mean,false_negatives_mean,sigma_weight_mean,sigma_weight_sd_functions,sigma_weight_se_functions,sigma_weight_median,sigma_weight_max,weight_ratio_mean,weight_ratio_median,weight_ratio_max,weight_ratio_run_median,weight_ratio_run_max,restarts_mean,restarts_median,restarts_q90,restarts_q95,restarts_q99,restarts_max,found_count,not_found_count,found_rate
unrestricted,10,2,4,0.400000,0.200000,15,75,75,2.146667,1.853333,3.400000,0.240000,0.135225,0.034915,0.384444,0.243606,0.062899,0.240000,0.135225,0.034915,0.384444,0.243606,0.062899,36,36,1.000000,0,0,0.000000,2,2,0,0.986667,1.520000,1.466667,0.246885,0.063746,1.000000,3,0.733333,0.500000,1.500000,0.500000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,10,2,8,0.800000,0.400000,15,75,75,4.506667,3.493333,12.373333,0.466667,0.134519,0.034733,0.532222,0.162626,0.041990,0.466667,0.134519,0.034733,0.532222,0.162626,0.041990,70,70,1.000000,0,0,0.000000,12,12,0,1.280000,1.066667,2.213333,0.333524,0.086115,2.000000,4,1.106667,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,2,2,0.040000,0.020000,15,75,75,1.000000,1.000000,1.000000,0.006667,0.025820,0.006667,0.013333,0.051640,0.013333,0.006667,0.025820,0.006667,0.013333,0.051640,0.013333,1,1,1.000000,0,0,0.000000,0,0,0,0.986667,1.986667,1.000000,0.000000,0.000000,1.000000,1,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,2,4,0.080000,0.040000,15,75,75,2.080000,1.920000,3.333333,0.026667,0.045774,0.011819,0.046667,0.083381,0.021529,0.026667,0.045774,0.011819,0.046667,0.083381,0.021529,4,4,1.000000,0,0,0.000000,0,0,0,1.413333,1.946667,1.466667,0.246885,0.063746,1.000000,3,0.733333,0.500000,1.500000,0.500000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,2,8,0.160000,0.080000,15,75,75,4.600000,3.400000,11.213333,0.146667,0.118723,0.030654,0.145556,0.129631,0.033471,0.146667,0.118723,0.030654,0.145556,0.129631,0.033471,22,22,1.000000,0,0,0.000000,1,1,0,2.133333,1.706667,2.426667,0.494927,0.127790,2.000000,5,1.213333,1.000000,2.500000,1.000000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,2,2,0.020000,0.010000,15,75,75,1.000000,1.000000,1.000000,0.006667,0.025820,0.006667,0.013333,0.051640,0.013333,0.006667,0.025820,0.006667,0.013333,0.051640,0.013333,1,1,1.000000,0,0,0.000000,0,0,0,0.986667,1.986667,1.000000,0.000000,0.000000,1.000000,1,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,2,4,0.040000,0.020000,15,75,75,2.133333,1.866667,3.333333,0.026667,0.045774,0.011819,0.053333,0.091548,0.023637,0.026667,0.045774,0.011819,0.053333,0.091548,0.023637,4,4,1.000000,0,0,0.000000,0,0,0,1.453333,1.946667,1.506667,0.260403,0.067236,1.000000,3,0.753333,0.500000,1.500000,0.500000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,2,8,0.080000,0.040000,15,75,75,4.800000,3.200000,11.866667,0.046667,0.074322,0.019190,0.041111,0.066329,0.017126,0.046667,0.074322,0.019190,0.041111,0.066329,0.017126,7,7,1.000000,0,0,0.000000,0,0,0,2.466667,1.906667,2.560000,0.485210,0.125281,2.000000,5,1.280000,1.000000,2.500000,1.000000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,10,3,4,0.400000,0.133333,15,75,75,1.946667,2.053333,3.360000,0.137778,0.073319,0.018931,0.300000,0.196396,0.050709,0.128889,0.073319,0.018931,0.288889,0.197068,0.050883,31,29,0.935484,2,2,0.026667,0,0,0,1.040000,2.586667,1.453333,0.287518,0.074237,1.000000,3,0.484444,0.333333,1.000000,0.333333,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,10,3,8,0.800000,0.266667,15,75,75,4.200000,3.800000,13.053333,0.355556,0.122582,0.031651,0.538889,0.195248,0.050413,0.342222,0.115103,0.029719,0.525556,0.191160,0.049357,80,77,0.962500,3,3,0.040000,1,1,0,1.173333,1.933333,2.240000,0.448490,0.115799,2.000000,4,0.746667,0.666667,1.333333,0.666667,1.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
