n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
100,4,16,3,3,41237,4031334,404002837,13,3,39,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",3,"[51,82,90]","[-1,-1,-1]",0,True
100,4,16,3,4,41237,4031334,404002838,10,6,60,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[33,84,86,89]","[-1,1,-1,1]",0,True
100,4,16,3,5,41237,4031334,404002839,9,7,63,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",6,"[1,5,14,36,47,59]","[-1,-1,-1,1,-1,-1]",0,True
100,4,32,3,1,41237,4031334,404004435,19,13,247,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",8,"[16,22,33,43,51,73,90,91]","[1,1,-1,-1,1,-1,-1,-1]",0,True
100,4,32,3,2,41237,4031334,404004436,17,15,255,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",9,"[6,12,15,19,23,42,71,88,91]","[-1,1,1,-1,1,-1,-1,-1,-1]",0,True
100,4,32,3,3,41237,4031334,404004437,19,13,247,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",9,"[23,48,50,57,63,80,85,89,93]","[-1,-1,-1,1,1,1,-1,1,1]",0,True
100,4,32,3,4,41237,4031334,404004438,20,12,240,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",7,"[20,33,43,86,87,90,99]","[1,1,1,-1,1,1,-1]",0,True
100,4,32,3,5,41237,4031334,404004439,12,20,240,"[59,50,77,86]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",9,"[4,8,11,38,67,70,72,85,87]","[-1,-1,1,1,1,-1,-1,1,1]",0,True
10,4,8,4,1,41238,4041244,404102035,4,4,16,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",1,[2],[-1],0,True
10,4,8,4,2,41238,4041244,404102036,2,6,12,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",2,"[2,3]","[-1,-1]",0,True
10,4,8,4,3,41238,4041244,404102037,4,4,16,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",1,[2],[-1],0,True
10,4,8,4,4,41238,4041244,404102038,3,5,15,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",3,"[1,3,9]","[-1,1,-1]",0,True
10,4,8,4,5,41238,4041244,404102039,2,6,12,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",3,"[0,5,8]","[1,-1,-1]",0,True
10,4,16,4,1,41238,4041244,404102835,5,11,55,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",3,"[2,4,6]","[-1,-1,-1]",0,True
10,4,16,4,2,41238,4041244,404102836,5,11,55,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",1,[2],[-1],0,True
10,4,16,4,3,41238,4041244,404102837,7,9,63,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",1,[2],[-1],0,True
10,4,16,4,4,41238,4041244,404102838,6,10,60,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",2,"[2,6]","[-1,-1]",0,True
10,4,16,4,5,41238,4041244,404102839,6,10,60,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",3,"[2,3,8]","[-1,1,-1]",0,True
10,4,32,4,1,41238,4041244,404104435,12,20,240,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",5,"[2,3,6,7,9]","[-1,-1,1,1,-1]",0,True
10,4,32,4,2,41238,4041244,404104436,14,18,252,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",3,"[1,2,8]","[-1,-1,-1]",0,True
10,4,32,4,3,41238,4041244,404104437,13,19,247,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",4,"[1,2,8,9]","[-1,-1,-1,-1]",0,True
10,4,32,4,4,41238,4041244,404104438,16,16,256,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",6,"[0,1,2,5,7,8]","[-1,-1,-1,-1,1,-1]",0,True
10,4,32,4,5,41238,4041244,404104439,15,17,255,"[9,2,1,8]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",4,"[1,2,8,9]","[-1,-1,-1,-1]",0,True
50,4,8,4,1,41238,4041284,404502035,1,7,7,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",2,"[22,48]","[1,1]",0,True
50,4,8,4,2,41238,4041284,404502036,4,4,16,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",3,"[7,13,44]","[-1,-1,-1]",0,True
50,4,8,4,3,41238,4041284,404502037,4,4,16,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",3,"[18,35,48]","[1,1,1]",0,True
50,4,8,4,4,41238,4041284,404502038,4,4,16,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",1,[12],[1],0,True
50,4,8,4,5,41238,4041284,404502039,1,7,7,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",2,"[11,44]","[1,-1]",0,True
50,4,16,4,1,41238,4041284,404502835,8,8,64,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",2,"[27,35]","[-1,-1]",0,True
50,4,16,4,2,41238,4041284,404502836,6,10,60,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",5,"[7,28,31,33,42]","[-1,-1,1,1,1]",0,True
50,4,16,4,3,41238,4041284,404502837,8,8,64,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",5,"[2,10,18,36,41]","[1,-1,1,1,-1]",0,True
50,4,16,4,4,41238,4041284,404502838,9,7,63,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",5,"[1,3,21,24,33]","[-1,-1,-1,1,-1]",0,True
50,4,16,4,5,41238,4041284,404502839,10,6,60,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",1,[27],[-1],0,True
50,4,32,4,1,41238,4041284,404504435,14,18,252,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",8,"[0,9,14,23,32,33,35,43]","[-1,1,-1,-1,-1,-1,-1,-1]",0,True
50,4,32,4,2,41238,4041284,404504436,17,15,255,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",8,"[11,14,23,25,39,46,47,49]","[1,-1,1,-1,-1,-1,-1,1]",0,True
50,4,32,4,3,41238,4041284,404504437,16,16,256,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",6,"[20,24,25,27,31,38]","[-1,1,1,-1,1,1]",0,True
50,4,32,4,4,41238,4041284,404504438,15,17,255,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",3,"[27,33,47]","[-1,-1,1]",0,True
50,4,32,4,5,41238,4041284,404504439,16,16,256,"[29,27,10,35]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",5,"[27,29,33,36,40]","[-1,-1,1,-1,-1]",0,True
100,4,8,4,1,41238,4041334,405002035,2,6,12,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",1,[33],[-1],0,True
100,4,8,4,2,41238,4041334,405002036,4,4,16,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",1,[33],[-1],0,True
100,4,8,4,3,41238,4041334,405002037,3,5,15,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",4,"[27,48,86,88]","[1,1,1,1]",0,True
100,4,8,4,4,41238,4041334,405002038,5,3,15,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",4,"[54,74,79,89]","[1,-1,-1,-1]",0,True
100,4,8,4,5,41238,4041334,405002039,4,4,16,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",1,[33],[-1],0,True
100,4,16,4,1,41238,4041334,405002835,5,11,55,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",6,"[2,4,19,61,79,91]","[-1,-1,1,-1,-1,1]",0,True
100,4,16,4,2,41238,4041334,405002836,8,8,64,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",3,"[11,78,79]","[-1,-1,1]",0,True
100,4,16,4,3,41238,4041334,405002837,7,9,63,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",6,"[2,5,58,69,71,85]","[1,1,1,-1,-1,1]",0,True
100,4,16,4,4,41238,4041334,405002838,4,12,48,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",6,"[9,18,50,58,62,85]","[1,-1,-1,-1,1,-1]",0,True
100,4,16,4,5,41238,4041334,405002839,8,8,64,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",4,"[21,33,76,97]","[1,-1,1,-1]",0,True
100,4,32,4,1,41238,4041334,405004435,18,14,252,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",10,"[3,6,10,14,20,37,41,52,55,96]","[-1,-1,-1,1,1,-1,1,1,1,1]",0,True
100,4,32,4,2,41238,4041334,405004436,15,17,255,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",8,"[15,19,21,29,76,84,96,99]","[1,1,-1,1,-1,1,-1,1]",0,True
100,4,32,4,3,41238,4041334,405004437,16,16,256,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",10,"[10,11,17,34,40,41,63,65,70,81]","[1,-1,-1,-1,-1,1,-1,-1,1,-1]",0,True
100,4,32,4,4,41238,4041334,405004438,10,22,220,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",6,"[22,33,40,63,70,98]","[-1,-1,1,1,-1,-1]",0,True
100,4,32,4,5,41238,4041334,405004439,10,22,220,"[95,33,90,89]","[-1,-1,-1,-1]","[13,2]","[[0,2,3],[1]]",8,"[18,43,54,58,66,67,83,84]","[-1,1,-1,1,1,-1,1,-1]",0,True
10,4,8,5,1,41239,4051244,405102035,6,2,12,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",2,"[2,7]","[-1,-1]",0,True
10,4,8,5,2,41239,4051244,405102036,4,4,16,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",1,[3],[-1],0,True
10,4,8,5,3,41239,4051244,405102037,6,2,12,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",1,[6],[-1],0,True
10,4,8,5,4,41239,4051244,405102038,4,4,16,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",2,"[0,6]","[1,-1]",0,True
10,4,8,5,5,41239,4051244,405102039,5,3,15,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",3,"[2,4,5]","[-1,1,1]",0,True
10,4,16,5,1,41239,4051244,405102835,9,7,63,"[9,6,0,2]","[-1,-1,1,-1]","[11,6,13]","[[0,1,3],[1,2],[0,2,3]]",3,"[5,6,9]","[1,-1,-1]",0,True
