n,m,tb,seed,F0_size,F1_size,d,time_sec,restarts,solution_found,sigma_weight
3000,100,4,300101238,50,50,2500,21.684651,0,True,17
3000,100,5,300101239,50,50,2500,22.614521,0,True,20
3000,100,6,300101240,50,50,2500,22.075711,0,True,18
3000,100,7,300101241,50,50,2500,21.849375,0,True,18
3000,100,8,300101242,50,50,2500,21.545096,0,True,17
3000,100,9,300101243,50,50,2500,22.503454,0,True,18
3000,100,10,300101244,50,50,2500,22.639092,0,True,19
3000,150,1,300151235,75,75,5625,51.840172,0,True,21
3000,150,2,300151236,75,75,5625,51.366003,0,True,21
3000,150,3,300151237,75,75,5625,51.117106,0,True,21
3000,150,4,300151238,75,75,5625,50.297899,0,True,20
3000,150,5,300151239,75,75,5625,53.946832,0,True,23
3000,150,6,300151240,75,75,5625,51.651613,0,True,21
3000,150,7,300151241,75,75,5625,49.716714,0,True,19
3000,150,8,300151242,75,75,5625,53.645796,0,True,23
3000,150,9,300151243,75,75,5625,49.348146,0,True,19
3000,150,10,300151244,75,75,5625,51.444409,0,True,21
3000,200,1,300201235,100,100,10000,107.791612,0,True,22
3000,200,2,300201236,100,100,10000,110.804531,0,True,24
3000,200,3,300201237,100,100,10000,107.59458,0,True,22
3000,200,4,300201238,100,100,10000,113.803913,0,True,24
3000,200,5,300201239,100,100,10000,103.713506,0,True,20
3000,200,6,300201240,100,100,10000,107.692227,0,True,22
3000,200,7,300201241,100,100,10000,106.394197,0,True,21
3000,200,8,300201242,100,100,10000,110.799672,0,True,23
3000,200,9,300201243,100,100,10000,107.116321,0,True,22
3000,200,10,300201244,100,100,10000,113.077797,0,True,24
3000,250,1,300251235,125,125,15625,227.767369,0,True,26
3000,250,2,300251236,125,125,15625,225.714681,0,True,26
3000,250,3,300251237,125,125,15625,226.689717,0,True,26
3000,250,4,300251238,125,125,15625,210.835177,0,True,23
3000,250,5,300251239,125,125,15625,221.63076,0,True,25
3000,250,6,300251240,125,125,15625,225.262023,0,True,25
3000,250,7,300251241,125,125,15625,227.693707,0,True,26
3000,250,8,300251242,125,125,15625,221.814078,0,True,25
3000,250,9,300251243,125,125,15625,240.10879,0,True,28
3000,250,10,300251244,125,125,15625,221.627186,0,True,25
3000,300,1,300301235,150,150,22500,408.987875,0,True,26
3000,300,2,300301236,150,150,22500,421.932834,0,True,27
3000,300,3,300301237,150,150,22500,386.458106,0,True,24
3000,300,4,300301238,150,150,22500,419.914651,0,True,27
3000,300,5,300301239,150,150,22500,408.501245,0,True,26
3000,300,6,300301240,150,150,22500,420.599361,0,True,27
3000,300,7,300301241,150,150,22500,420.332815,0,True,27
3000,300,8,300301242,150,150,22500,421.662398,0,True,27
3000,300,9,300301243,150,150,22500,405.779401,0,True,26
3000,300,10,300301244,150,150,22500,397.575461,0,True,25
4000,50,1,400051235,25,25,625,9.765985,0,True,11
4000,50,2,400051236,25,25,625,9.260545,0,True,11
4000,50,3,400051237,25,25,625,10.1198,0,True,13
4000,50,4,400051238,25,25,625,9.356801,0,True,11
4000,50,5,400051239,25,25,625,11.735042,0,True,16
4000,50,6,400051240,25,25,625,10.364351,0,True,13
4000,50,7,400051241,25,25,625,9.886043,0,True,12
4000,50,8,400051242,25,25,625,10.506398,0,True,13
4000,50,9,400051243,25,25,625,9.870128,0,True,12
4000,50,10,400051244,25,25,625,10.152133,0,True,12
4000,100,1,400101235,50,50,2500,29.247732,0,True,17
4000,100,2,400101236,50,50,2500,28.885478,0,True,17
4000,100,3,400101237,50,50,2500,28.078182,0,True,16
4000,100,4,400101238,50,50,2500,31.188049,0,True,20
4000,100,5,400101239,50,50,2500,29.780262,0,True,19
4000,100,6,400101240,50,50,2500,28.334553,0,True,18
4000,100,7,400101241,50,50,2500,29.40852,0,True,18
4000,100,8,400101242,50,50,2500,29.755944,0,True,19
4000,100,9,400101243,50,50,2500,30.160957,0,True,19
4000,100,10,400101244,50,50,2500,28.415901,0,True,18
4000,150,1,400151235,75,75,5625,62.953905,0,True,20
4000,150,2,400151236,75,75,5625,64.870992,0,True,20
4000,150,3,400151237,75,75,5625,66.496513,0,True,21
4000,150,4,400151238,75,75,5625,62.099374,0,True,19
4000,150,5,400151239,75,75,5625,63.520538,0,True,20
4000,150,6,400151240,75,75,5625,64.499953,0,True,20
4000,150,7,400151241,75,75,5625,67.197868,0,True,22
4000,150,8,400151242,75,75,5625,65.492215,0,True,22
4000,150,9,400151243,75,75,5625,62.783859,0,True,19
4000,150,10,400151244,75,75,5625,67.716961,0,True,22
4000,200,1,400201235,100,100,10000,132.708708,0,True,22
4000,200,2,400201236,100,100,10000,131.002204,0,True,22
4000,200,3,400201237,100,100,10000,139.74454,0,True,25
4000,200,4,400201238,100,100,10000,133.895961,0,True,23
4000,200,5,400201239,100,100,10000,134.228105,0,True,23
4000,200,6,400201240,100,100,10000,135.077096,0,True,23
4000,200,7,400201241,100,100,10000,134.858794,0,True,23
4000,200,8,400201242,100,100,10000,133.044601,0,True,23
4000,200,9,400201243,100,100,10000,139.277561,0,True,25
4000,200,10,400201244,100,100,10000,128.656708,0,True,21
4000,250,1,400251235,125,125,15625,269.431886,0,True,27
4000,250,2,400251236,125,125,15625,228.762421,0,True,21
4000,250,3,400251237,125,125,15625,250.916562,0,True,24
4000,250,4,400251238,125,125,15625,250.429571,0,True,24
4000,250,5,400251239,125,125,15625,237.104754,0,True,22
4000,250,6,400251240,125,125,15625,239.356401,0,True,22
4000,250,7,400251241,125,125,15625,261.011032,0,True,26
4000,250,8,400251242,125,125,15625,257.17679,0,True,25
4000,250,9,400251243,125,125,15625,251.625223,0,True,24
4000,250,10,400251244,125,125,15625,255.788612,0,True,25
4000,300,1,400301235,150,150,22500,470.037816,0,True,27
4000,300,2,400301236,150,150,22500,471.261413,0,True,27
4000,300,3,400301237,150,150,22500,444.643698,0,True,25
4000,300,4,400301238,150,150,22500,479.954945,0,True,28
4000,300,5,400301239,150,150,22500,444.526396,0,True,25
4000,300,6,400301240,150,150,22500,457.420766,0,True,26
4000,300,7,400301241,150,150,22500,448.839822,0,True,25
4000,300,8,400301242,150,150,22500,435.601048,0,True,24
4000,300,9,400301243,150,150,22500,470.932476,0,True,27
4000,300,10,400301244,150,150,22500,471.147817,0,True,27
5000,50,1,500051235,25,25,625,13.115532,0,True,12
5000,50,2,500051236,25,25,625,14.675146,0,True,16
5000,50,3,500051237,25,25,625,14.285457,0,True,15
5000,50,4,500051238,25,25,625,13.201454,0,True,13
5000,50,5,500051239,25,25,625,12.926123,0,True,12
5000,50,6,500051240,25,25,625,15.505965,0,True,17
5000,50,7,500051241,25,25,625,13.288243,0,True,13
5000,50,8,500051242,25,25,625,13.275208,0,True,13
5000,50,9,500051243,25,25,625,13.416609,0,True,14
5000,50,10,500051244,25,25,625,13.97021,0,True,14
5000,100,1,500101235,50,50,2500,38.388568,0,True,20
5000,100,2,500101236,50,50,2500,37.856268,0,True,20
5000,100,3,500101237,50,50,2500,35.901832,0,True,17
5000,100,4,500101238,50,50,2500,36.95336,0,True,18
5000,100,5,500101239,50,50,2500,36.638373,0,True,18
5000,100,6,500101240,50,50,2500,37.731563,0,True,19
5000,100,7,500101241,50,50,2500,38.087371,0,True,20
5000,100,8,500101242,50,50,2500,37.429755,0,True,19
5000,100,9,500101243,50,50,2500,37.466283,0,True,19
5000,100,10,500101244,50,50,2500,36.264295,0,True,18
5000,150,1,500151235,75,75,5625,80.449357,0,True,21
5000,150,2,500151236,75,75,5625,81.117011,0,True,21
5000,150,3,500151237,75,75,5625,81.498437,0,True,21
5000,150,4,500151238,75,75,5625,78.313014,0,True,20
5000,150,5,500151239,75,75,5625,83.0725,0,True,23
5000,150,6,500151240,75,75,5625,81.579309,0,True,22
5000,150,7,500151241,75,75,5625,82.750271,0,True,22
5000,150,8,500151242,75,75,5625,78.072175,0,True,20
5000,150,9,500151243,75,75,5625,79.832468,0,True,20
5000,150,10,500151244,75,75,5625,80.875006,0,True,22
5000,200,1,500201235,100,100,10000,158.909762,0,True,23
5000,200,2,500201236,100,100,10000,156.845277,0,True,22
5000,200,3,500201237,100,100,10000,162.790684,0,True,25
5000,200,4,500201238,100,100,10000,153.846846,0,True,22
5000,200,5,500201239,100,100,10000,157.514058,0,True,23
5000,200,6,500201240,100,100,10000,158.741722,0,True,23
5000,200,7,500201241,100,100,10000,156.984152,0,True,23
5000,200,8,500201242,100,100,10000,159.309354,0,True,24
5000,200,9,500201243,100,100,10000,151.856092,0,True,20
5000,200,10,500201244,100,100,10000,154.254523,0,True,22
5000,250,1,500251235,125,125,15625,288.670684,0,True,23
5000,250,2,500251236,125,125,15625,280.553511,0,True,23
5000,250,3,500251237,125,125,15625,304.29004,0,True,27
5000,250,4,500251238,125,125,15625,293.493294,0,True,25
5000,250,5,500251239,125,125,15625,292.300748,0,True,25
5000,250,6,500251240,125,125,15625,294.80129,0,True,25
5000,250,7,500251241,125,125,15625,282.087777,0,True,23
5000,250,8,500251242,125,125,15625,291.240356,0,True,25
5000,250,9,500251243,125,125,15625,280.120885,0,True,23
5000,250,10,500251244,125,125,15625,288.129641,0,True,24
5000,300,1,500301235,150,150,22500,485.409464,0,True,24
5000,300,2,500301236,150,150,22500,494.525557,0,True,25
5000,300,3,500301237,150,150,22500,529.557319,0,True,28
5000,300,4,500301238,150,150,22500,492.778574,0,True,25
5000,300,5,500301239,150,150,22500,517.539027,0,True,27
5000,300,6,500301240,150,150,22500,498.044362,0,True,25
5000,300,7,500301241,150,150,22500,498.336785,0,True,25
5000,300,8,500301242,150,150,22500,511.547583,0,True,26
5000,300,9,500301243,150,150,22500,495.063931,0,True,25
5000,300,10,500301244,150,150,22500,458.860682,0,True,22
