n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,k_max_used,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
100,2,4,2,4,21236,2021334,203001638,10,3,1,3,"[42,28]","[-1,-1]",[3],"[[0,1]]",1,[44],[1],0,True
100,2,4,2,5,21236,2021334,203001639,10,2,2,4,"[42,28]","[-1,-1]",[3],"[[0,1]]",1,[78],[-1],0,True
100,2,8,2,1,21236,2021334,203002035,10,7,1,7,"[42,28]","[-1,-1]",[3],"[[0,1]]",2,"[44,51]","[1,1]",0,True
100,2,8,2,2,21236,2021334,203002036,10,5,3,15,"[42,28]","[-1,-1]",[3],"[[0,1]]",3,"[29,75,85]","[1,1,-1]",0,True
100,2,8,2,3,21236,2021334,203002037,10,7,1,7,"[42,28]","[-1,-1]",[3],"[[0,1]]",2,"[22,42]","[1,-1]",0,True
100,2,8,2,4,21236,2021334,203002038,10,6,2,12,"[42,28]","[-1,-1]",[3],"[[0,1]]",2,"[22,42]","[1,-1]",0,True
100,2,8,2,5,21236,2021334,203002039,10,7,1,7,"[42,28]","[-1,-1]",[3],"[[0,1]]",2,"[72,77]","[-1,1]",0,True
10,2,2,3,1,21237,2031244,203101435,10,1,1,1,"[8,4]","[1,1]",[3],"[[0,1]]",1,[8],[1],0,True
10,2,2,3,2,21237,2031244,203101436,10,1,1,1,"[8,4]","[1,1]",[3],"[[0,1]]",1,[8],[1],0,True
10,2,2,3,3,21237,2031244,203101437,10,1,1,1,"[8,4]","[1,1]",[3],"[[0,1]]",1,[7],[1],0,True
10,2,2,3,4,21237,2031244,203101438,10,1,1,1,"[8,4]","[1,1]",[3],"[[0,1]]",1,[0],[-1],0,True
10,2,2,3,5,21237,2031244,203101439,10,1,1,1,"[8,4]","[1,1]",[3],"[[0,1]]",1,[8],[1],0,True
10,2,4,3,1,21237,2031244,203101635,10,3,1,3,"[8,4]","[1,1]",[3],"[[0,1]]",1,[8],[1],0,True
10,2,4,3,2,21237,2031244,203101636,10,2,2,4,"[8,4]","[1,1]",[3],"[[0,1]]",3,"[2,6,9]","[1,1,-1]",0,True
10,2,4,3,3,21237,2031244,203101637,10,2,2,4,"[8,4]","[1,1]",[3],"[[0,1]]",1,[8],[1],0,True
10,2,4,3,4,21237,2031244,203101638,10,2,2,4,"[8,4]","[1,1]",[3],"[[0,1]]",1,[8],[1],0,True
10,2,4,3,5,21237,2031244,203101639,10,3,1,3,"[8,4]","[1,1]",[3],"[[0,1]]",1,[8],[1],0,True
10,2,8,3,1,21237,2031244,203102035,10,7,1,7,"[8,4]","[1,1]",[3],"[[0,1]]",2,"[1,8]","[1,1]",0,True
10,2,8,3,2,21237,2031244,203102036,10,5,3,15,"[8,4]","[1,1]",[3],"[[0,1]]",2,"[4,9]","[1,-1]",0,True
10,2,8,3,3,21237,2031244,203102037,10,5,3,15,"[8,4]","[1,1]",[3],"[[0,1]]",2,"[4,8]","[1,1]",0,True
10,2,8,3,4,21237,2031244,203102038,10,6,2,12,"[8,4]","[1,1]",[3],"[[0,1]]",2,"[4,8]","[1,1]",0,True
10,2,8,3,5,21237,2031244,203102039,10,5,3,15,"[8,4]","[1,1]",[3],"[[0,1]]",1,[8],[1],0,True
50,2,2,3,1,21237,2031284,203501435,10,1,1,1,"[46,8]","[1,1]",[3],"[[0,1]]",1,[15],[-1],0,True
50,2,2,3,2,21237,2031284,203501436,10,1,1,1,"[46,8]","[1,1]",[3],"[[0,1]]",1,[35],[1],0,True
50,2,2,3,3,21237,2031284,203501437,10,1,1,1,"[46,8]","[1,1]",[3],"[[0,1]]",1,[27],[-1],0,True
50,2,2,3,4,21237,2031284,203501438,10,1,1,1,"[46,8]","[1,1]",[3],"[[0,1]]",1,[19],[-1],0,True
50,2,2,3,5,21237,2031284,203501439,10,1,1,1,"[46,8]","[1,1]",[3],"[[0,1]]",1,[14],[-1],0,True
50,2,4,3,1,21237,2031284,203501635,10,2,2,4,"[46,8]","[1,1]",[3],"[[0,1]]",2,"[13,24]","[-1,1]",0,True
50,2,4,3,2,21237,2031284,203501636,10,3,1,3,"[46,8]","[1,1]",[3],"[[0,1]]",2,"[2,15]","[1,1]",0,True
50,2,4,3,3,21237,2031284,203501637,10,2,2,4,"[46,8]","[1,1]",[3],"[[0,1]]",1,[28],[-1],0,True
50,2,4,3,4,21237,2031284,203501638,10,2,2,4,"[46,8]","[1,1]",[3],"[[0,1]]",1,[39],[1],0,True
50,2,4,3,5,21237,2031284,203501639,10,2,2,4,"[46,8]","[1,1]",[3],"[[0,1]]",1,[11],[-1],0,True
50,2,8,3,1,21237,2031284,203502035,10,6,2,12,"[46,8]","[1,1]",[3],"[[0,1]]",2,"[8,24]","[1,1]",0,True
50,2,8,3,2,21237,2031284,203502036,10,6,2,12,"[46,8]","[1,1]",[3],"[[0,1]]",2,"[21,37]","[-1,1]",0,True
50,2,8,3,3,21237,2031284,203502037,10,7,1,7,"[46,8]","[1,1]",[3],"[[0,1]]",2,"[18,28]","[1,-1]",0,True
50,2,8,3,4,21237,2031284,203502038,10,6,2,12,"[46,8]","[1,1]",[3],"[[0,1]]",2,"[8,46]","[1,1]",0,True
50,2,8,3,5,21237,2031284,203502039,10,7,1,7,"[46,8]","[1,1]",[3],"[[0,1]]",3,"[1,34,42]","[-1,-1,-1]",0,True
100,2,2,3,1,21237,2031334,204001435,10,1,1,1,"[85,39]","[1,1]",[3],"[[0,1]]",1,[42],[-1],0,True
100,2,2,3,2,21237,2031334,204001436,10,1,1,1,"[85,39]","[1,1]",[3],"[[0,1]]",1,[87],[-1],0,True
100,2,2,3,3,21237,2031334,204001437,10,1,1,1,"[85,39]","[1,1]",[3],"[[0,1]]",1,[83],[1],0,True
100,2,2,3,4,21237,2031334,204001438,10,1,1,1,"[85,39]","[1,1]",[3],"[[0,1]]",1,[75],[-1],0,True
100,2,2,3,5,21237,2031334,204001439,10,1,1,1,"[85,39]","[1,1]",[3],"[[0,1]]",1,[73],[-1],0,True
100,2,4,3,1,21237,2031334,204001635,10,3,1,3,"[85,39]","[1,1]",[3],"[[0,1]]",2,"[47,96]","[1,-1]",0,True
100,2,4,3,2,21237,2031334,204001636,10,3,1,3,"[85,39]","[1,1]",[3],"[[0,1]]",1,[42],[1],0,True
100,2,4,3,3,21237,2031334,204001637,10,2,2,4,"[85,39]","[1,1]",[3],"[[0,1]]",1,[65],[1],0,True
100,2,4,3,4,21237,2031334,204001638,10,2,2,4,"[85,39]","[1,1]",[3],"[[0,1]]",3,"[19,20,78]","[-1,1,-1]",0,True
100,2,4,3,5,21237,2031334,204001639,10,3,1,3,"[85,39]","[1,1]",[3],"[[0,1]]",1,[18],[1],0,True
100,2,8,3,1,21237,2031334,204002035,10,6,2,12,"[85,39]","[1,1]",[3],"[[0,1]]",2,"[8,88]","[-1,-1]",0,True
100,2,8,3,2,21237,2031334,204002036,10,7,1,7,"[85,39]","[1,1]",[3],"[[0,1]]",2,"[10,89]","[-1,1]",0,True
100,2,8,3,3,21237,2031334,204002037,10,6,2,12,"[85,39]","[1,1]",[3],"[[0,1]]",3,"[9,69,70]","[1,1,-1]",0,True
100,2,8,3,4,21237,2031334,204002038,10,6,2,12,"[85,39]","[1,1]",[3],"[[0,1]]",3,"[24,58,80]","[-1,1,-1]",0,True
100,2,8,3,5,21237,2031334,204002039,10,6,2,12,"[85,39]","[1,1]",[3],"[[0,1]]",1,[59],[1],0,True
10,2,2,4,1,21238,2041244,204101435,10,1,1,1,"[1,4]","[1,1]",[3],"[[0,1]]",1,[9],[-1],0,True
10,2,2,4,2,21238,2041244,204101436,10,1,1,1,"[1,4]","[1,1]",[3],"[[0,1]]",1,[0],[-1],0,True
10,2,2,4,3,21238,2041244,204101437,10,1,1,1,"[1,4]","[1,1]",[3],"[[0,1]]",1,[3],[1],0,True
10,2,2,4,4,21238,2041244,204101438,10,1,1,1,"[1,4]","[1,1]",[3],"[[0,1]]",1,[0],[-1],0,True
10,2,2,4,5,21238,2041244,204101439,10,1,1,1,"[1,4]","[1,1]",[3],"[[0,1]]",1,[1],[1],0,True
10,2,4,4,1,21238,2041244,204101635,10,2,2,4,"[1,4]","[1,1]",[3],"[[0,1]]",3,"[1,5,7]","[1,-1,1]",0,True
10,2,4,4,2,21238,2041244,204101636,10,3,1,3,"[1,4]","[1,1]",[3],"[[0,1]]",2,"[1,4]","[1,1]",0,True
10,2,4,4,3,21238,2041244,204101637,10,3,1,3,"[1,4]","[1,1]",[3],"[[0,1]]",2,"[3,7]","[-1,-1]",0,True
10,2,4,4,4,21238,2041244,204101638,10,3,1,3,"[1,4]","[1,1]",[3],"[[0,1]]",2,"[2,5]","[1,-1]",0,True
10,2,4,4,5,21238,2041244,204101639,10,2,2,4,"[1,4]","[1,1]",[3],"[[0,1]]",1,[4],[1],0,True
10,2,8,4,1,21238,2041244,204102035,10,7,1,7,"[1,4]","[1,1]",[3],"[[0,1]]",2,"[1,4]","[1,1]",0,True
10,2,8,4,2,21238,2041244,204102036,10,6,2,12,"[1,4]","[1,1]",[3],"[[0,1]]",2,"[4,7]","[1,-1]",0,True
10,2,8,4,3,21238,2041244,204102037,10,5,3,15,"[1,4]","[1,1]",[3],"[[0,1]]",1,[4],[1],0,True
10,2,8,4,4,21238,2041244,204102038,10,7,1,7,"[1,4]","[1,1]",[3],"[[0,1]]",2,"[3,4]","[1,1]",0,True
10,2,8,4,5,21238,2041244,204102039,10,6,2,12,"[1,4]","[1,1]",[3],"[[0,1]]",2,"[0,5]","[-1,1]",0,True
50,2,2,4,1,21238,2041284,204501435,10,1,1,1,"[27,22]","[1,1]",[3],"[[0,1]]",1,[49],[-1],0,True
50,2,2,4,2,21238,2041284,204501436,10,1,1,1,"[27,22]","[1,1]",[3],"[[0,1]]",1,[21],[1],0,True
50,2,2,4,3,21238,2041284,204501437,10,1,1,1,"[27,22]","[1,1]",[3],"[[0,1]]",1,[45],[1],0,True
50,2,2,4,4,21238,2041284,204501438,10,1,1,1,"[27,22]","[1,1]",[3],"[[0,1]]",1,[40],[-1],0,True
50,2,2,4,5,21238,2041284,204501439,10,1,1,1,"[27,22]","[1,1]",[3],"[[0,1]]",1,[37],[1],0,True
50,2,4,4,1,21238,2041284,204501635,10,3,1,3,"[27,22]","[1,1]",[3],"[[0,1]]",1,[44],[1],0,True
50,2,4,4,2,21238,2041284,204501636,10,2,2,4,"[27,22]","[1,1]",[3],"[[0,1]]",1,[36],[1],0,True
50,2,4,4,3,21238,2041284,204501637,10,2,2,4,"[27,22]","[1,1]",[3],"[[0,1]]",1,[27],[1],0,True
50,2,4,4,4,21238,2041284,204501638,10,3,1,3,"[27,22]","[1,1]",[3],"[[0,1]]",2,"[9,13]","[1,1]",0,True
50,2,4,4,5,21238,2041284,204501639,10,2,2,4,"[27,22]","[1,1]",[3],"[[0,1]]",2,"[21,38]","[-1,-1]",0,True
50,2,8,4,1,21238,2041284,204502035,10,5,3,15,"[27,22]","[1,1]",[3],"[[0,1]]",3,"[16,26,43]","[-1,1,-1]",0,True
50,2,8,4,2,21238,2041284,204502036,10,7,1,7,"[27,22]","[1,1]",[3],"[[0,1]]",2,"[15,33]","[-1,1]",0,True
50,2,8,4,3,21238,2041284,204502037,10,6,2,12,"[27,22]","[1,1]",[3],"[[0,1]]",2,"[37,43]","[-1,1]",0,True
50,2,8,4,4,21238,2041284,204502038,10,7,1,7,"[27,22]","[1,1]",[3],"[[0,1]]",2,"[7,49]","[-1,-1]",0,True
50,2,8,4,5,21238,2041284,204502039,10,5,3,15,"[27,22]","[1,1]",[3],"[[0,1]]",3,"[0,5,17]","[1,-1,-1]",0,True
100,2,2,4,1,21238,2041334,205001435,10,1,1,1,"[34,37]","[1,1]",[3],"[[0,1]]",1,[68],[-1],0,True
100,2,2,4,2,21238,2041334,205001436,10,1,1,1,"[34,37]","[1,1]",[3],"[[0,1]]",1,[44],[1],0,True
100,2,2,4,3,21238,2041334,205001437,10,1,1,1,"[34,37]","[1,1]",[3],"[[0,1]]",1,[43],[-1],0,True
100,2,2,4,4,21238,2041334,205001438,10,1,1,1,"[34,37]","[1,1]",[3],"[[0,1]]",1,[38],[-1],0,True
100,2,2,4,5,21238,2041334,205001439,10,1,1,1,"[34,37]","[1,1]",[3],"[[0,1]]",1,[11],[-1],0,True
100,2,4,4,1,21238,2041334,205001635,10,3,1,3,"[34,37]","[1,1]",[3],"[[0,1]]",1,[35],[-1],0,True
100,2,4,4,2,21238,2041334,205001636,10,3,1,3,"[34,37]","[1,1]",[3],"[[0,1]]",1,[78],[-1],0,True
100,2,4,4,3,21238,2041334,205001637,10,1,3,3,"[34,37]","[1,1]",[3],"[[0,1]]",3,"[29,71,77]","[-1,1,-1]",0,True
100,2,4,4,4,21238,2041334,205001638,10,3,1,3,"[34,37]","[1,1]",[3],"[[0,1]]",1,[22],[1],0,True
100,2,4,4,5,21238,2041334,205001639,10,2,2,4,"[34,37]","[1,1]",[3],"[[0,1]]",1,[54],[-1],0,True
100,2,8,4,1,21238,2041334,205002035,10,4,4,16,"[34,37]","[1,1]",[3],"[[0,1]]",4,"[9,13,78,79]","[1,-1,-1,-1]",0,True
100,2,8,4,2,21238,2041334,205002036,10,6,2,12,"[34,37]","[1,1]",[3],"[[0,1]]",2,"[77,95]","[1,1]",0,True
100,2,8,4,3,21238,2041334,205002037,10,7,1,7,"[34,37]","[1,1]",[3],"[[0,1]]",2,"[60,75]","[1,-1]",0,True
100,2,8,4,4,21238,2041334,205002038,10,6,2,12,"[34,37]","[1,1]",[3],"[[0,1]]",2,"[8,38]","[1,1]",0,True
