regime,n,k,m,f_id,tb,support_true,signs_true,support_predicted,signs_predicted,support_tp,signed_tp,sign_errors
kmax10,50,5,16,6,4,"[36,17,35,44,14]","[1,-1,-1,-1,-1]","[3,24,25,31,36]","[-1,-1,1,-1,-1]",1,0,1
kmax10,50,5,64,6,4,"[36,17,35,44,14]","[1,-1,-1,-1,-1]","[2,14,17,22,23,28,36,40,49]","[-1,-1,-1,1,1,-1,-1,-1,1]",3,2,1
kmax10,100,5,16,6,5,"[55,23,69,9,80]","[1,-1,-1,-1,-1]","[4,9,22,61,65,89]","[1,1,-1,1,-1,-1]",1,0,1
kmax10,100,5,32,6,5,"[55,23,69,9,80]","[1,-1,-1,-1,-1]","[6,8,23,36,46,56,87,92]","[1,1,1,-1,1,1,1,-1]",1,0,1
kmax10,100,5,64,6,1,"[55,23,69,9,80]","[1,-1,-1,-1,-1]","[0,17,26,39,55,69,80,97]","[-1,-1,-1,-1,-1,-1,-1,1]",3,2,1
kmax10,100,5,64,6,3,"[55,23,69,9,80]","[1,-1,-1,-1,-1]","[4,7,31,40,44,55,57,62,74,80]","[1,-1,-1,1,1,-1,-1,-1,-1,-1]",2,1,1
kmax10,100,5,16,8,2,"[70,23,50,91,84]","[1,-1,1,-1,-1]","[18,32,50,56,72,76,82]","[1,-1,-1,1,1,1,1]",1,0,1
kmax10,10,5,16,10,3,"[0,5,4,7,2]","[1,-1,-1,1,-1]","[0,2,3,6,7]","[-1,-1,-1,-1,1]",3,2,1
kmax10,10,5,32,11,5,"[0,5,6,2,7]","[1,1,1,-1,-1]","[0,1,4,5,7]","[-1,1,-1,1,-1]",3,2,1
kmax10,10,5,16,12,3,"[1,6,8,3,0]","[1,-1,1,-1,1]","[0,1,3,6]","[1,1,1,-1]",4,3,1
kmax10,10,5,16,12,4,"[1,6,8,3,0]","[1,-1,1,-1,1]","[0,2,3,4,9]","[1,1,1,1,-1]",2,1,1
kmax10,50,5,32,13,4,"[18,4,1,38,46]","[1,-1,-1,-1,-1]","[4,12,18,25,43]","[1,1,1,-1,-1]",2,1,1
kmax10,10,5,16,14,4,"[6,8,3,2,4]","[-1,-1,1,-1,-1]","[1,6,8]","[-1,-1,1]",2,1,1
kmax10,100,6,32,1,5,"[41,46,43,32,87,72]","[1,-1,1,-1,-1,-1]","[32,64,71,75,86,94,97]","[1,1,-1,1,1,-1,1]",1,0,1
kmax10,50,6,32,3,5,"[25,3,28,10,24,8]","[-1,1,1,1,-1,1]","[1,8,19,28,33,43,47]","[1,1,-1,-1,1,1,-1]",2,1,1
kmax10,100,6,32,3,3,"[92,11,40,93,6,43]","[-1,1,1,1,-1,1]","[13,18,29,40,44,47,48,84]","[1,1,-1,-1,1,-1,1,1]",1,0,1
kmax10,100,6,64,3,1,"[92,11,40,93,6,43]","[-1,1,1,1,-1,1]","[11,13,24,25,76,92,93]","[-1,1,-1,1,1,-1,1]",3,2,1
kmax10,100,6,32,4,1,"[6,21,64,45,40,11]","[1,1,1,-1,1,1]","[11,38,41,47,60,64,73,95]","[-1,1,-1,-1,1,1,-1,1]",2,1,1
kmax10,50,6,32,5,4,"[38,1,2,36,19,32]","[-1,1,-1,1,-1,1]","[0,6,11,24,30,32,39,43,49]","[-1,1,-1,1,1,-1,1,-1,1]",1,0,1
kmax10,50,6,32,6,5,"[43,26,46,49,6,16]","[-1,-1,-1,1,1,-1]","[6,8,16,17,28,29,30,43,47,48]","[1,1,1,-1,1,1,1,-1,-1,-1]",3,2,1
kmax10,10,6,32,7,4,"[0,1,3,5,2,9]","[1,1,-1,-1,1,1]","[0,1,2,4,5]","[-1,1,1,1,-1]",4,3,1
kmax10,50,6,32,7,4,"[10,47,46,14,22,35]","[1,1,-1,-1,1,1]","[7,10,21,28,30,31,36,45,47]","[-1,-1,-1,1,1,-1,1,1,1]",2,1,1
kmax10,50,6,32,7,5,"[10,47,46,14,22,35]","[1,1,-1,-1,1,1]","[4,6,14,18,26,31,33,34,48]","[1,1,1,1,1,-1,-1,-1,-1]",1,0,1
kmax10,100,6,128,7,2,"[41,78,57,46,79,98]","[1,1,-1,-1,1,1]","[38,40,41,46,50,62,78,79,81]","[1,1,-1,-1,-1,-1,1,1,1]",4,3,1
kmax10,10,6,32,8,2,"[4,9,6,0,5,1]","[-1,-1,1,1,-1,-1]","[0,1,3,5,6,8]","[1,-1,1,1,1,-1]",4,3,1
kmax10,50,6,32,8,2,"[33,49,31,24,3,7]","[-1,-1,1,1,-1,-1]","[2,14,24,25,33,41,44,45]","[1,1,1,-1,1,1,1,-1]",2,1,1
kmax10,50,6,64,9,4,"[17,33,15,6,40,45]","[1,1,1,1,-1,-1]","[0,6,15,30,35,42,45,48]","[-1,1,1,-1,-1,1,1,1]",3,2,1
kmax10,100,6,32,11,4,"[28,11,99,21,14,83]","[1,1,-1,1,-1,1]","[16,17,20,29,31,92,94,99]","[-1,1,-1,1,-1,-1,-1,1]",1,0,1
kmax10,10,6,64,12,5,"[8,4,0,5,7,1]","[1,-1,1,1,-1,1]","[0,4,5,6,7,8,9]","[1,-1,1,-1,-1,-1,1]",5,4,1
kmax10,50,6,32,12,4,"[21,34,9,10,8,6]","[1,-1,1,1,-1,1]","[1,6,11,13,31,40,41,46,48]","[1,-1,1,1,1,1,1,-1,-1]",1,0,1
kmax10,100,6,32,12,4,"[44,87,79,46,89,18]","[1,-1,1,1,-1,1]","[6,7,8,36,44,48,51,66]","[1,-1,1,1,-1,1,1,1]",1,0,1
kmax10,10,6,32,13,3,"[5,6,4,3,1,9]","[1,1,1,1,1,1]","[0,3,4,5,6,8]","[1,1,1,1,-1,-1]",4,3,1
kmax10,50,6,32,13,1,"[1,2,23,22,49,3]","[1,1,1,1,1,1]","[0,23,24,34,36,37,38,40,45,49]","[1,1,1,-1,1,-1,-1,-1,1,-1]",2,1,1
kmax10,50,6,64,13,1,"[1,2,23,22,49,3]","[1,1,1,1,1,1]","[1,2,17,30,36,39,48,49]","[1,-1,1,1,1,-1,-1,1]",3,2,1
kmax10,100,6,32,13,4,"[90,82,15,41,52,39]","[1,1,1,1,1,1]","[23,60,67,74,82,92]","[1,-1,-1,-1,-1,-1]",1,0,1
kmax10,100,6,64,13,5,"[90,82,15,41,52,39]","[1,1,1,1,1,1]","[41,46,52,53,59,61,85,90]","[1,-1,-1,-1,-1,1,1,1]",3,2,1
kmax10,50,6,64,14,2,"[33,10,8,36,43,22]","[1,1,1,1,1,-1]","[1,3,5,10,11,19,28,32,36,47]","[-1,-1,-1,-1,1,-1,1,-1,1,-1]",2,1,1
kmax10,100,6,32,14,5,"[68,56,20,8,87,38]","[1,1,1,1,1,-1]","[7,15,20,30,50,64,86]","[1,1,-1,-1,-1,-1,1]",1,0,1
kmax10,50,6,32,15,2,"[22,40,19,10,24,21]","[1,1,-1,1,-1,-1]","[7,10,22,24,28,36,41]","[1,1,-1,-1,-1,-1,1]",3,2,1
kmax10,100,6,32,15,1,"[74,16,10,25,3,54]","[1,1,-1,1,-1,-1]","[10,21,31,32,43,47,58,69,80]","[1,-1,1,-1,-1,1,-1,-1,-1]",1,0,1
kmax10,100,6,32,15,2,"[74,16,10,25,3,54]","[1,1,-1,1,-1,-1]","[0,26,33,40,42,44,54,58,64]","[-1,-1,1,1,1,1,1,-1,-1]",1,0,1
